X.U.FEFF.终端,IMEID,时间,东西,经度,南北,纬度,速度,航向,高度,温度,电压,运动量,卫星,HDOP,VDOP,精度,有效性
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/30 3:32,东经,99.97086,北纬,50.03336,0,331,1725,35.36,3.699,16,9,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/30 2:52,东经,99.97124,北纬,50.03345,0,96,1716,35.52,3.699,5,8,0.9,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/30 2:12,东经,99.97141,北纬,50.0333,0,46,1777,31.96,3.702,7,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/30 1:48,东经,99.97151,北纬,50.03339,0,39,1706,31,3.711,26,10,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/30 1:28,东经,99.97166,北纬,50.03326,0,3,1683,34.62,3.711,0,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/30 1:08,东经,99.97165,北纬,50.03324,0,357,1674,34.87,3.711,3,10,0.8,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/30 0:48,东经,99.97176,北纬,50.03325,0,339,1680,34.75,3.711,9,9,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/30 0:28,东经,99.97171,北纬,50.03318,0,25,1690,34.75,3.711,20,8,1.1,0.8,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/30 0:04,东经,99.97166,北纬,50.03313,0,325,1702,33.16,3.717,23,10,0.9,0.7,A,有效
赤麻鸭04（雌）·KIZ122·剑湖·20220223,35731621,2022/7/29 23:44,东经,99.97161,北纬,50.03315,0,230,1713,34.3,3.717,4,13,0.7,0.7,A,有效
