UUID,Transmitting.time,Collecting.time,Longitude,Latitude,Altitude,Altitude..Ellipsoid.,Speed,NED.Speed,Course,Satellite.used,Positioning.mode,HorAccuracy,VerAccuracy,GPS.time.consumption,Data.Source,HDOP,VDOP
efeb37b5945d,2022-03-10T15:57:35.427Z,2022-03-09T08:56:04Z,99.9295552,26.5040096,2188.43,2153.86,0,NA,0,4,2,0,0,7,[1],1.77,0.95
efeb37b5945d,2022-02-24T15:57:37.006Z,2022-02-24T10:36:01Z,99.9207552,26.5040272,2168.9,2134.34,0.2,NA,0,4,2,0,0,9,[2],2.15,0.94
efeb37b5945d,2022-03-10T15:57:43.288Z,2022-03-10T04:24:01Z,99.6805696,36.3426592,2994.16,2949,0,NA,0,4,2,0,0,9,[2],1.24,0.98
efeb37b5945d,2022-03-25T23:56:40.575Z,2022-03-25T17:56:01Z,98.4426112,36.886208,2950.89,2904.13,0.3,NA,17.9,4,2,0,0,9,[1],1.68,0.91
efeb37b5945d,2022-03-31T07:57:37.134Z,2022-03-31T02:56:01Z,98.4334208,36.875296,2864.14,2817.39,0,NA,0,4,2,0,0,9,[1],2.3,0.93
efeb37b5945d,2022-03-10T15:57:45.88Z,2022-03-10T06:56:02Z,99.68208,36.3426016,3146.4,3101.24,0,NA,129.5,4,2,0,0,10,"[1,2]",2.39,0.96
efeb37b5945d,2022-03-10T15:57:48.286Z,2022-03-10T07:26:02Z,99.6821696,36.3424416,3058.08,3012.92,0,NA,55.2,4,2,0,0,10,[2],2.8,0.98
efeb37b5945d,2022-03-14T23:56:27.033Z,2022-03-14T17:56:02Z,99.6817216,36.3423488,3032.65,2987.49,0.4,NA,137.4,4,2,0,0,10,[1],2.65,0.97
efeb37b5945d,2022-03-10T15:57:45.875Z,2022-03-10T06:06:02Z,99.6808256,36.3428928,3005.6,2960.44,0,NA,0,4,2,0,0,11,[2],1.61,0.96
efeb37b5945d,2022-03-30T07:56:41.735Z,2022-03-30T07:56:08Z,98.4522624,36.8826816,2988.54,2941.79,0.1,NA,296.1,4,2,0,0,12,[1],1.98,0.97
